Source	Revision	Code	Name
mca	201802	230207	碾子山区
mca	201802	230208	梅里斯达斡尔族区
mca	201802	230221	龙江县
mca	201802	230223	依安县
mca	201802	230224	泰来县
mca	201802	230225	甘南县
mca	201802	230227	富裕县
mca	201802	230229	克山县
mca	201802	230230	克东县
mca	201802	230231	拜泉县
mca	201802	230281	讷河市
mca	201802	230300	鸡西市
mca	201802	230302	鸡冠区
mca	201802	230303	恒山区
mca	201802	230304	滴道区
mca	201802	230305	梨树区
mca	201802	230306	城子河区
mca	201802	230307	麻山区
mca	201802	230321	鸡东县
mca	201802	230381	虎林市
mca	201802	230382	密山市
mca	201802	230400	鹤岗市
mca	201802	230402	向阳区
mca	201802	230403	工农区
mca	201802	230404	南山区
mca	201802	230405	兴安区
mca	201802	230406	东山区
mca	201802	230407	兴山区
mca	201802	230421	萝北县
mca	201802	230422	绥滨县
mca	201802	230500	双鸭山市
mca	201802	230502	尖山区
mca	201802	230503	岭东区
mca	201802	230505	四方台区
mca	201802	230506	宝山区
mca	201802	230521	集贤县
mca	201802	230522	友谊县
mca	201802	230523	宝清县
mca	201802	230524	饶河县
mca	201802	230600	大庆市
mca	201802	230602	萨尔图区
mca	201802	230603	龙凤区
mca	201802	230604	让胡路区
mca	201802	230605	红岗区
mca	201802	230606	大同区
mca	201802	230621	肇州县
mca	201802	230622	肇源县
mca	201802	230623	林甸县
mca	201802	230624	杜尔伯特蒙古族自治县
mca	201802	230700	伊春市
mca	201802	230702	伊春区
mca	201802	230703	南岔区
mca	201802	230704	友好区
mca	201802	230705	西林区
mca	201802	230706	翠峦区
mca	201802	230707	新青区
mca	201802	230708	美溪区
mca	201802	230709	金山屯区
mca	201802	230710	五营区
mca	201802	230711	乌马河区
mca	201802	230712	汤旺河区
mca	201802	230713	带岭区
mca	201802	230714	乌伊岭区
mca	201802	230715	红星区
mca	201802	230716	上甘岭区
mca	201802	230722	嘉荫县
mca	201802	230781	铁力市
mca	201802	230800	佳木斯市
mca	201802	230803	向阳区
mca	201802	230804	前进区
mca	201802	230805	东风区
mca	201802	230811	郊区
mca	201802	230822	桦南县
mca	201802	230826	桦川县
mca	201802	230828	汤原县
mca	201802	230881	同江市
mca	201802	230882	富锦市
mca	201802	230883	抚远市
mca	201802	230900	七台河市
mca	201802	230902	新兴区
mca	201802	230903	桃山区
mca	201802	230904	茄子河区
mca	201802	230921	勃利县
mca	201802	231000	牡丹江市
mca	201802	231002	东安区
mca	201802	231003	阳明区
mca	201802	231004	爱民区
mca	201802	231005	西安区
mca	201802	231025	林口县
mca	201802	231081	绥芬河市
mca	201802	231083	海林市
mca	201802	231084	宁安市
mca	201802	231085	穆棱市
mca	201802	231086	东宁市
mca	201802	231100	黑河市
mca	201802	231102	爱辉区
mca	201802	231121	嫩江县
mca	201802	231123	逊克县
mca	201802	231124	孙吴县
